,20200930,20200630,20191231,20181231,20171231,19700101,
货币资金,142935166.43,0,168741522.08,103695229.37,211935509.74,0,
交易性金融资产,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,
应收票据及应收账款,254485477.04,0,223372716.54,217572434.13,140900380.66,0,
应收票据,357500.00,0,448000.00,49206889.44,21240200.00,0,
应收账款,254127977.04,0,222924716.54,168365544.69,119660180.66,0,
应收款项融资,85692978.91,0,81650949.21,0,0,0,
预付款项,43918177.59,0,32531769.53,43883994.59,32711094.63,0,
其他应收款(合计),19833874.26,0,20045916.82,45078166.44,30522823.39,0,
应收利息,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,
其他应收款,0,0,20045916.82,45078166.44,30522823.39,0,
买入返售金融资产,0,0,0,0,0,0,
存货,1090963514.19,0,1161316858.51,1246783879.40,950431309.38,0,
划分为持有待售的资产,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,
其他流动资产,13192468.32,0,7577757.58,5282836.45,4809072.36,0,
流动资产合计,1651021656.74,0,1695237490.27,1662296540.38,1371310190.16,0,
发放贷款及垫款,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,
投资性房地产,6824098.64,0,7020722.91,8295363.62,8629413.51,0,
在建工程(合计),57426839.55,0,40858946.04,93981236.48,150501438.30,0,
在建工程,0,0,40858946.04,93981236.48,150501438.30,0,
工程物资,0,0,0,0,0,0,
固定资产及清理(合计),338086453.35,0,348783870.50,273885457.54,173831601.45,0,
固定资产净额,0,0,348783870.50,273885457.54,173831601.45,0,
固定资产清理,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,
无形资产,110986676.19,0,93542908.66,94939331.61,96073663.34,0,
开发支出,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,
长期待摊费用,0,0,0,0,0,0,
递延所得税资产,47120749.93,0,46926185.16,50114978.83,48675186.82,0,
其他非流动资产,0,0,603712.39,114303.87,1214295.69,0,
非流动资产合计,560444817.66,0,537736345.66,521330671.95,478925599.11,0,
资产总计,2211466474.40,2228842900.00,2232973835.93,2183627212.33,1850235789.27,0,
短期借款,535479068.27,0,532205680.03,441972432.69,265625000.00,0,
交易性金融负债,0,0,0,0,0,0,
应付票据及应付账款,415316002.39,0,392675398.34,488481217.35,350474736.98,0,
应付票据,89617073.47,0,6324467.95,85325472.15,88583133.54,0,
应付账款,325698928.92,0,386350930.39,403155745.20,261891603.44,0,
预收款项,0,0,811173292.70,971526204.99,933462139.77,0,
应付手续费及佣金,0,0,0,0,0,0,
应付职工薪酬,25125856.15,0,30569157.62,21045141.10,14436187.14,0,
应交税费,3024664.55,0,4146471.12,15269781.41,11195959.74,0,
其他应付款(合计),10503087.56,0,6084165.11,35563021.05,50105704.62,0,
应付利息,0,0,2618029.14,2181476.67,2613549.60,0,
应付股利,0,0,0,30401889.77,45401889.77,0,
其他应付款,0,0,3466135.97,2979654.61,2090265.25,0,
预提费用,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,
一年内到期的非流动负债,30000000.00,0,55000000.00,60000000.00,45000000.00,0,
其他流动负债,0,0,0,0,0,0,
流动负债合计,1709861009.85,0,1831854164.92,2033857798.59,1670299728.25,0,
长期借款,50482366.66,0,30000000.00,85000000.00,145000000.00,0,
应付债券,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,
长期递延收益,9641604.57,0,10239765.02,11037312.29,10798077.96,0,
其他非流动负债,0,0,0,0,0,0,
非流动负债合计,60123971.23,0,40239765.02,96037312.29,155798077.96,0,
负债合计,1769984981.08,1819167900.00,1872093929.94,2129895110.88,1826097806.21,0,
实收资本(或股本),96000000.00,0,96000000.00,11158000.00,11158000.00,0,
资本公积,272891372.03,0,267983979.81,1200000.00,1200000.00,0,
减：库存股,0,0,0,0,0,0,
其他综合收益,782677.37,0,809380.65,666641.52,143768.05,0,
专项储备,0,0,0,0,0,0,
盈余公积,0,0,0,0,8368500.00,0,
一般风险准备,0,0,0,0,0,0,
未分配利润,70476222.47,0,-5182932.43,41134993.02,62536475.56,0,
归属于母公司股东权益合计,440150271.87,408396000.00,359610428.03,54159634.54,83406743.61,0,
少数股东权益,1331221.45,0,1269477.96,-427533.09,-59268760.55,0,
所有者权益(或股东权益)合计,441481493.32,409675000.00,360879905.99,53732101.45,24137983.06,0,
负债和所有者权益(或股东权益)总计,2211466474.40,2228842900.00,2232973835.93,2183627212.33,1850235789.27,0,
