,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,164436963.70,26643914.07,11408493.48,26546401.62,9314678.93,6798190.00
收到的税费返还,0,0,0,0,0,0
收到的其他与经营活动有关的现金,18150960.08,2400442.61,4026353.43,6437455.99,6284791.05,10273360.05
经营活动现金流入小计,182587923.78,29044356.68,15434846.91,35072582.00,18925042.91,18006149.66
购买商品、接受劳务支付的现金,335561409.22,152212856.67,80259123.90,45785125.29,27303140.32,16066967.64
支付给职工以及为职工支付的现金,22793264.15,28015103.22,27593507.31,38679901.34,34156450.45,21603788.88
支付的各项税费,34158045.34,17450019.91,9233073.92,16045167.22,25808749.17,1314913.56
支付的其他与经营活动有关的现金,47464736.27,52652391.27,58808399.12,56573815.21,46325114.89,6632236.86
经营活动现金流出小计,439977454.98,250330371.07,175894104.25,157084009.06,133593454.83,45617906.94
经营活动产生的现金流量净额,-257389531.20,-221286014.39,-160459257.34,-122011427.06,-114668411.92,-27611757.28
收回投资所收到的现金,0,96000000.00,5200000.00,15562500.00,61390406.24,0
取得投资收益所收到的现金,989900.00,785440.88,3120155.79,3285000.00,11108288.40,748775.07
处置固定资产、无形资产和其他长期资产所收回的现金净额,119385660.00,84728683.00,82000000.00,258567904.45,0,0
处置子公司及其他营业单位收到的现金净额,40746768.59,46552276.42,0,209828411.90,0,0
收到的其他与投资活动有关的现金,8000000.00,108113086.39,8000000.00,90010000.00,273126439.37,11829279.10
投资活动现金流入小计,169122328.59,336179486.69,98320155.79,577253816.35,345625134.01,23615101.49
购建固定资产、无形资产和其他长期资产所支付的现金,67893636.36,39288247.16,28506301.42,24528087.47,73315650.53,21353270.30
投资所支付的现金,0,0,0,0,0,0
取得子公司及其他营业单位支付的现金净额,5500000.00,0,0,0,0,0
支付的其他与投资活动有关的现金,0,120852019.24,52875931.15,0,20301590.10,0
投资活动现金流出小计,73393636.36,160140266.40,81382232.57,24528087.47,95270351.54,21353270.30
投资活动产生的现金流量净额,95728692.23,176039220.29,16937923.22,552725728.88,250354782.47,2261831.19
吸收投资收到的现金,0,0,0,0,0,0
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0
取得借款收到的现金,747795130.24,1231257202.06,545000000.00,20400000.00,0,0
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,461757954.00,532391079.39,0,147410000.00,0,15693138.93
筹资活动现金流入小计,1209553084.24,1763648281.45,545000000.00,167810000.00,0.00,15693138.93
偿还债务支付的现金,229800000.00,719108024.84,389627457.76,393950000.00,295500000.00,0
分配股利、利润或偿付利息所支付的现金,23924883.20,49280940.94,107352102.20,96034392.99,41124432.33,0
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0
支付其他与筹资活动有关的现金,682112872.87,418550411.80,257038800.00,0,51270532.50,237207831.75
筹资活动现金流出小计,935837756.07,1186939377.58,754018359.96,489984392.99,387894964.83,237207831.75
筹资活动产生的现金流量净额,273715328.17,576708903.87,-209018359.96,-322174392.99,-387894964.83,-221514692.82
四、汇率变动对现金及现金等价物的影响,14356.93,1289.75,28295.52,-206551.77,196067.31,91851.54
五、现金及现金等价物净增加额,112068846.13,531463399.52,-352511398.56,108333357.06,-252012526.97,-246772767.37
加:期初现金及现金等价物余额,100489661.85,212558507.98,744021907.50,391510508.94,499843866.00,247831339.03
六、期末现金及现金等价物余额,212558507.98,744021907.50,391510508.94,499843866.00,247831339.03,1058571.66
净利润,39691007.64,25837933.26,-198411361.91,55113012.11,-191886569.97,-308368306.44
少数股东权益,0,0,0,0,0,0
未确认的投资损失,0,0,0,0,0,0
资产减值准备,9343785.70,7267985.46,26645839.38,23425326.88,67335086.93,6023281.43
固定资产折旧、油气资产折耗、生产性物资折旧,16214337.64,14149850.21,13639678.43,5355824.81,4908411.09,3511214.86
无形资产摊销,8609040.45,6945367.50,6635695.91,6346335.71,4771761.91,4592879.99
长期待摊费用摊销,0,0,0,0,0,0
待摊费用的减少,0,0,0,0,0,0
预提费用的增加,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产的损失,-64786437.18,-129379439.14,-48372666.66,-183926525.38,0,-129114.98
固定资产报废损失,0,0,0,0,0,0
公允价值变动损失,0,0,0,0,0,0
递延收益增加（减：减少）,0,0,0,0,0,0
预计负债,0,0,0,0,117923898.34,-13330275.00
财务费用,24800708.67,50114028.26,104017864.19,95728674.55,62177195.68,31057397.74
投资损失,-154195210.03,-84455248.75,-3571846.33,-179531381.34,-120677161.66,9339771.30
递延所得税资产减少,0,0,0,0,0,0
递延所得税负债增加,0,0,0,0,-14201277.97,0
存货的减少,-320993787.26,27859131.64,14075132.78,-285879.20,-205625.69,14149846.71
经营性应收项目的减少,-15431072.65,-23744317.29,-6854211.04,-2820142.69,-11552860.38,-5998842.36
经营性应付项目的增加,191863296.25,-142038503.16,-77672212.56,51165734.24,-40638148.92,37975587.98
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0
其他,0,0,0,0,0,0
经营活动产生现金流量净额,-257389531.20,-221286014.39,-160459257.34,-122011427.06,-114668411.92,-27611757.28
债务转为资本,0,0,0,0,0,0
一年内到期的可转换公司债券,0,0,0,0,0,0
融资租入固定资产,0,0,0,0,0,0
现金的期末余额,212558507.98,744021907.50,391510508.94,749843866.00,247831339.03,205379850.01
现金的期初余额,100489661.85,212558507.98,744021907.50,466090508.94,749843866.00,247831339.03
现金等价物的期末余额,0,0,0,-250000000.00,0,-204321278.35
现金等价物的期初余额,0,0,0,-74580000.00,-250000000.00,0
现金及现金等价物的净增加额,112068846.13,531463399.52,-352511398.56,108333357.06,-252012526.97,-246772767.37
