,20200930,20200630,20191231,20181231,20180630,20171231,20161231,20151231,19700101,
货币资金,817601621.60,0,199956493.54,124021130.05,69493552.16,59842929.80,62209931.86,112543196.47,0,
交易性金融资产,0,0,0,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,0,0,0,
应收票据及应收账款,144135328.79,0,143154842.72,135065786.98,119274891.71,121485180.45,90129412.89,99541794.16,0,
应收票据,0,0,0,0,0,0,0,0,0,
应收账款,144135328.79,0,143154842.72,135065786.98,0,121485180.45,0,0,0,
应收款项融资,0,0,0,0,0,0,0,0,0,
预付款项,4152702.23,0,5296693.83,2408090.39,3239881.79,3040287.25,1044514.14,2259319.20,0,
其他应收款(合计),2589340.67,0,5646718.00,6381233.08,3997052.80,4854017.67,4427883.89,19054640.64,0,
应收利息,0,0,0,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,0,0,0,
其他应收款,0,0,5646718.00,6381233.08,0,4854017.67,0,0,0,
买入返售金融资产,0,0,0,0,0,0,0,0,0,
存货,255171051.71,0,216452491.31,211031451.76,241562329.57,328478599.50,252588344.18,280217119.61,0,
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,
其他流动资产,12251731.65,0,11213091.22,18996487.12,13313074.48,24334498.61,7628254.21,20717150.67,0,
流动资产合计,1235901776.65,0,581720330.62,497904179.38,450880782.51,542035513.28,418028341.17,534333220.75,0,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,0,0,0,
长期股权投资,74451.68,0,73279.85,32615.74,37810.58,0,0,0,0,
投资性房地产,0,0,0,0,0,0,0,0,0,
在建工程(合计),0,0,153427713.24,109910496.20,0,15362495.27,0,0,0,
在建工程,0,0,153427713.24,109910496.20,61778495.02,15362495.27,0,0,0,
工程物资,0,0,0,0,0,0,0,0,0,
固定资产及清理(合计),163757292.47,0,3363471.40,2544743.20,0,3225187.76,0,0,0,
固定资产净额,0,0,3363471.40,2544743.20,2473156.68,3225187.76,26905463.07,4546248.35,0,
固定资产清理,0,0,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,0,0,
无形资产,40994175.17,0,42639455.60,44110110.37,45185365.95,45987017.12,48045763.40,98102.72,0,
开发支出,0,0,0,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,0,0,0,
长期待摊费用,116829.14,0,58962.26,82547.17,0,0,0,0,0,
递延所得税资产,4338497.88,0,4022082.81,3050390.77,3127173.48,4079208.22,5442158.37,6248735.41,0,
其他非流动资产,0,0,0,0,0,0,0,0,0,
非流动资产合计,209281246.34,0,203584965.16,159730903.45,112602001.71,68653908.37,80393384.84,10893086.48,0,
资产总计,1445183022.99,857301800.00,785305300.00,657635082.83,563482784.22,610689421.65,498421726.01,545226307.23,0,
短期借款,0,0,12186957.88,23318037.40,11386734.74,0,0,0,0,
交易性金融负债,0,0,0,0,0,0,0,0,0,
应付票据及应付账款,183281247.66,0,199682273.23,205172955.79,223131856.67,339281382.20,267553043.75,376370604.54,0,
应付票据,0,0,0,0,0,0,0,0,0,
应付账款,183281247.66,0,199682273.23,205172955.79,0,339281382.20,0,0,0,
预收款项,0,0,15350843.32,2914190.71,12107517.62,15097489.17,38035907.89,31419160.89,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,
应付职工薪酬,8218886.32,0,15767377.70,9161120.28,4657353.89,9081943.78,6367049.05,6705769.01,0,
应交税费,17397348.35,0,33299513.01,25844231.74,12254615.07,30447044.23,7118637.10,29591631.88,0,
其他应付款(合计),65491537.40,0,65552263.58,69194675.57,52206719.51,54277593.99,65309016.59,89444154.83,0,
应付利息,131968.28,0,145095.00,117681.85,0,0,0,0,0,
应付股利,0,0,0,0,0,0,0,0,0,
其他应付款,0,0,65407168.58,69076993.72,0,54277593.99,0,0,0,
预提费用,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,107729209.51,0,10000000.00,6500000.00,4500000.00,0,0,0,0,
其他流动负债,1732787.89,0,0,0,0,0,0,0,0,
流动负债合计,406658394.22,0,351839228.72,342105211.49,320244797.50,448185453.37,384383654.38,533531321.15,0,
长期借款,0,0,94848251.31,73500000.00,45500000.00,0,0,0,0,
应付债券,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,
递延所得税负债,410733.70,0,429788.91,2588981.64,2153560.80,861734.01,1508247.93,0,0,
长期递延收益,0,0,0,0,0,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,
非流动负债合计,410733.70,0,95278040.22,76088981.64,47653560.80,861734.01,1508247.93,0.00,0,
负债合计,407069127.92,451832100.00,447117300.00,418194193.13,367898358.30,449047187.38,385891902.31,533531321.15,0,
实收资本(或股本),100000000.00,0,75000000.00,75000000.00,75000000.00,75000000.00,37600000.00,2000000.00,0,
资本公积,590177431.46,0,17784006.91,17975106.91,25873997.91,18243871.91,7660000.00,0,0,
减：库存股,0,0,0,0,0,0,0,0,0,
其他综合收益,4938.65,0,6613.14,1908.59,3841.27,4452.05,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,
盈余公积,16594419.31,0,16594419.31,8764636.35,2834188.09,3597200.69,5081180.20,2382119.71,0,
一般风险准备,0,0,0,0,0,0,0,0,0,
未分配利润,331337105.65,0,228802987.48,137699237.85,91872398.65,64796709.62,62188643.50,7312866.37,0,
归属于母公司股东权益合计,1038113895.07,405469700.00,338188000.00,239440889.70,195584425.92,161642234.27,112529823.70,11694986.08,0,
少数股东权益,0,0,0,0,0,0,0,0,0,
所有者权益(或股东权益)合计,1038113895.07,405469700.00,338188000.00,239440889.70,195584425.92,161642234.27,112529823.70,11694986.08,0,
负债和所有者权益(或股东权益)总计,1445183022.99,857301800.00,785305295.78,657635082.83,563482784.22,610689421.65,498421726.01,545226307.23,0,
