,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20171231,20161231,19700101,
销售商品、提供劳务收到的现金,148981810.95,93436560.78,46802167.01,174468093.31,0,87696647.06,57636003.63,146384139.70,89637082.54,129401536.83,108151192.59,0,
收到的税费返还,1915392.12,1663794.43,1055987.57,3557336.79,0,1657023.90,1389054.05,956466.86,586973.15,1078828.08,1489027.57,0,
收到的其他与经营活动有关的现金,32117147.70,12577767.44,2714658.64,21469490.20,0,14182883.68,9687134.06,13680798.54,10360724.96,16063637.63,31767084.11,0,
经营活动现金流入小计,183014350.77,107678122.65,50572813.22,199494920.30,0,103536554.64,68712191.74,161021405.10,100584780.65,146544002.54,141407304.27,0,
购买商品、接受劳务支付的现金,32955071.14,23543232.69,14515273.85,39874890.30,0,30906518.30,49632450.48,63417355.62,59133480.80,43178718.36,37840697.80,0,
支付给职工以及为职工支付的现金,59445954.22,40366401.08,20280166.49,61841230.28,0,28831536.78,13380919.15,46081529.92,32731257.49,37423046.11,29663218.49,0,
支付的各项税费,13709545.83,9151765.85,5842489.57,15381927.02,0,8464569.60,5377113.74,10108229.16,7237706.98,9178187.41,13943050.69,0,
支付的其他与经营活动有关的现金,17021429.60,9505489.93,4609495.23,28764452.47,0,9454298.31,9232550.99,15435663.16,13036710.43,18778889.70,32924587.80,0,
经营活动现金流出小计,123132000.79,82566889.55,45247425.14,145862500.07,0,77656922.99,77623034.36,135042777.86,112139155.70,108558841.58,114371554.78,0,
经营活动产生的现金流量净额,59882349.98,25111233.10,5325388.08,53632420.23,27843300.00,25879631.65,-8910842.62,25978627.24,-11554375.05,37985160.96,27035749.49,0,
收回投资所收到的现金,1470500121.91,1036076289.04,693050000.00,178850000.00,0,124050000.00,29150000.00,190930000.00,148700000.00,255300000.00,60000000.00,0,
取得投资收益所收到的现金,0,0.00,2253466.30,493624.18,0,235939.97,35026.99,749245.52,637454.42,172633.38,37621.92,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,1280.00,0.00,0,19469.03,0,21379.08,0,0,0,5758014.56,648483.52,0,
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,
投资活动现金流入小计,1470501401.91,1036076289.04,695303466.30,179363093.21,0,124307319.05,29185026.99,191679245.52,149337454.42,261230647.94,60686105.44,0,
购建固定资产、无形资产和其他长期资产所支付的现金,59483819.20,17744878.21,814993.19,7765990.39,0,4563412.40,1471153.66,10754606.35,8780174.34,7045630.59,2774752.58,0,
投资所支付的现金,1519301296.16,1065301296.16,693050000.00,492750000.00,0,126500000.00,17000000.00,203280000.00,151570000.00,265100000.00,60000000.00,0,
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,
支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,
投资活动现金流出小计,1578785115.36,1083046174.37,693864993.19,500515990.39,0,131063412.40,18471153.66,214034606.35,160350174.34,272145630.59,62774752.58,0,
