,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180630,20171231,20161231,20151231,19700101,
销售商品、提供劳务收到的现金,837458501.48,551061940.73,263422434.31,1116785835.11,896042502.44,560803818.72,258108720.09,1392048373.54,641405632.63,1003184446.81,912800949.68,808775475.48,0,
收到的税费返还,96705477.28,60043502.64,30924564.30,108964582.67,84548290.75,58496026.32,30740705.04,95501058.44,51359161.80,82499331.68,65556366.40,56284703.67,0,
收到的其他与经营活动有关的现金,12590505.51,9684273.31,4320234.68,28731494.98,10421727.95,9630074.44,449787.92,59852809.61,58576686.15,50379293.87,6964642.16,10138040.10,0,
经营活动现金流入小计,946754484.27,620789716.68,298667233.29,1254481912.76,991012521.14,628929919.48,289299213.05,1547402241.59,751341480.58,1136063072.36,985321958.24,875198219.25,0,
购买商品、接受劳务支付的现金,654363945.68,425160719.25,251196461.16,807420149.78,616226551.20,417992642.23,232898794.14,987774750.31,509920303.88,743676642.07,623705631.78,535274869.18,0,
支付给职工以及为职工支付的现金,120517755.08,85117254.59,49867337.67,142961282.02,111264885.13,79524098.64,46792341.92,146104911.40,82304065.40,120526510.57,101174430.26,84881222.70,0,
支付的各项税费,24209705.48,20342620.10,12842826.58,55345972.02,44131912.29,27499047.26,18134006.21,43160738.53,14418952.98,71288794.81,79980962.48,66336794.32,0,
支付的其他与经营活动有关的现金,43787837.88,28221407.76,10923039.92,50955433.88,41306962.46,29251298.74,14009737.35,55666112.22,27120447.55,42637626.89,113887042.92,42743948.28,0,
经营活动现金流出小计,842879244.12,558842001.70,324829665.33,1056682837.70,812930311.08,554267086.87,311834879.62,1232706512.46,633763769.81,978129574.34,918748067.44,729236834.48,0,
经营活动产生的现金流量净额,103875240.15,61947714.98,-26162432.04,197799075.06,178082210.06,74662832.61,-22535666.57,314695729.13,117577710.77,157933498.02,66573890.80,145961384.77,0,
收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,
取得投资收益所收到的现金,431506.85,0,0,39514.08,39514.08,39514.08,39514.08,41540.45,0,724961.91,1754193.62,6154404.62,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,1228075.38,1133645.17,482438.60,312591.05,234872.01,26261.19,494.40,543853.56,45048.88,1224661.20,1197824.01,1428105.02,0,
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,
收到的其他与投资活动有关的现金,135240049.34,4705549.34,936274.13,13130604.57,11013430.39,11042054.66,9556155.73,4784000.84,200000.00,143544697.35,269995312.30,470858050.05,0,
投资活动现金流入小计,136899631.57,5839194.51,1418712.73,13482709.70,11287816.48,11107829.93,9596164.21,5369394.85,245048.88,145494320.46,272947329.93,478440559.69,0,
购建固定资产、无形资产和其他长期资产所支付的现金,181370234.19,95709227.25,67311620.04,134031626.84,92544919.46,46374623.10,6861658.49,70080131.80,24464919.39,69414360.19,54110245.32,47613817.11,0,
投资所支付的现金,0,0,0,0,0,0,0,0,2577207.55,0,0,0,0,
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,35294377.20,35294377.20,154318603.14,0,0,0,
支付的其他与投资活动有关的现金,480585800.00,261299200.00,808550.00,8731170.78,6779820.78,5129475.50,1872000.00,30104768.96,8382467.50,60000000.00,288201450.00,278628592.05,0,
投资活动现金流出小计,661956034.19,357008427.25,68120170.04,142762797.62,99324740.24,51504098.60,8733658.49,135479277.96,70718971.64,283732963.33,342311695.32,326242409.16,0,
投资活动产生的现金流量净额,-525056402.62,-351169232.74,-66701457.31,-129280087.92,-88036923.76,-40396268.67,862505.72,-130109883.11,-70473922.76,-138238642.87,-69364365.39,152198150.53,0,
吸收投资收到的现金,706146698.17,706146698.17,711293396.42,0,0,0,0,0,0,20312000.00,0,0,0,
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,
取得借款收到的现金,62707200.00,42707200.00,42707200.00,106600000.00,106600000.00,106600000.00,76600000.00,193000000.00,161000000.00,75000000.00,0,0,0,
发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,
收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,
筹资活动现金流入小计,768853898.17,748853898.17,754000596.42,106600000.00,106600000.00,106600000.00,76600000.00,193000000.00,161000000.00,95312000.00,0.00,0.00,0,
偿还债务支付的现金,89307200.00,46600000.00,46600000.00,197000000.00,145000000.00,105000000.00,105000000.00,131000000.00,38000000.00,0,0,0,0,
分配股利、利润或偿付利息所支付的现金,44565465.72,44340101.65,663462.41,4937044.76,4145057.18,2713399.67,1303284.48,220882041.23,217041255.70,84524416.67,73000000.00,251797337.66,0,
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,
支付其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,
筹资活动现金流出小计,133872665.72,90940101.65,47263462.41,201937044.76,149145057.18,107713399.67,106303284.48,351882041.23,255041255.70,84524416.67,73000000.00,251797337.66,0,
筹资活动产生的现金流量净额,634981232.45,657913796.52,706737134.01,-95337044.76,-42545057.18,-1113399.67,-29703284.48,-158882041.23,-94041255.70,10787583.33,-73000000.00,-251797337.66,0,
四、汇率变动对现金及现金等价物的影响,-2811139.17,1269980.69,1047552.68,131845.36,467809.13,-1262994.52,-1999120.87,989274.87,-1664071.13,-8758807.29,7799586.23,11722251.76,0,
五、现金及现金等价物净增加额,210988930.81,369962259.45,614920797.34,-26686212.26,47968038.25,31890169.75,-53375566.20,26693079.66,-48601538.82,21723631.19,-67990888.36,58084449.40,0,
加:期初现金及现金等价物余额,151490815.84,151490815.84,151490815.84,178177028.10,178177028.10,178177028.10,178177028.10,151483948.44,151483948.44,129760317.25,197751205.61,139666756.21,0,
六、期末现金及现金等价物余额,362479746.65,521453075.29,766411613.18,151490815.84,226145066.35,210067197.85,124801461.90,178177028.10,102882409.62,151483948.44,129760317.25,197751205.61,0,
净利润,0,44102217.32,0,142029668.06,0,73436500.00,0,175328700.00,0,114646000.00,218950400.00,0,0,
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,
未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,
资产减值准备,0,-996047.58,0,1497936.93,0,197700.00,0,-2790900.00,0,-3158700.00,-10498800.00,0,0,
固定资产折旧、油气资产折耗、生产性物资折旧,0,14136024.61,0,26697583.43,0,14589800.00,0,25998200.00,0,21842100.00,18348200.00,0,0,
无形资产摊销,0,2142559.08,0,3881005.57,0,0,0,0,0,0,0,0,0,
长期待摊费用摊销,0,0,0,0,0,0,0,0,0,0,0,0,0,
待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,
预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产的损失,0,2648040.85,0,12562127.07,0,1629300.00,0,3049800.00,0,2140500.00,154600.00,0,0,
固定资产报废损失,0,0,0,0,0,0,0,0,0,0,0,0,0,
公允价值变动损失,0,-196323.32,0,-4725878.23,0,-5282700.00,0,5655800.00,0,0,-265300.00,0,0,
递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,
预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,
财务费用,0,-136915.78,0,4706309.42,0,3987900.00,0,6477900.00,0,9452600.00,-7799600.00,0,0,
投资损失,0,1299200.00,0,8691656.70,0,5090000.00,0,8942600.00,0,-725000.00,-1194700.00,0,0,
递延所得税资产减少,0,-96948.58,0,53516.38,0,0,0,0,0,0,0,0,0,
递延所得税负债增加,0,4327034.85,0,6191400.99,0,5519600.00,0,7985900.00,0,12312500.00,3489900.00,0,0,
存货的减少,0,-1599282.35,0,18867248.32,0,14291900.00,0,-843200.00,0,-51061400.00,-38710000.00,0,0,
经营性应收项目的减少,0,3164660.22,0,-41194740.84,0,3624800.00,0,61951300.00,0,-109615500.00,-59920900.00,0,0,
经营性应付项目的增加,0,-6846504.34,0,18541241.26,0,-42422000.00,0,22939600.00,0,32406900.00,-9656000.00,0,0,
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0,0,0,0,
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0,0,0,0,
其他,0,0,0,0,0,0,0,0,0,50761700.00,-754700.00,0,0,
经营活动产生现金流量净额,0,61947714.98,0,197799075.06,0,74662800.00,0,314695700.00,0,157933500.00,66573900.00,0,0,
债务转为资本,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的可转换公司债券,0,0,0,0,0,0,0,0,0,0,0,0,0,
融资租入固定资产,0,0,0,0,0,0,0,0,0,0,0,0,0,
现金的期末余额,0,521453075.29,0,151490815.84,0,0,0,0,0,0,0,0,0,
现金的期初余额,0,151490815.84,0,178177028.10,0,0,0,0,0,0,0,0,0,
现金等价物的期末余额,0,0,0,0,0,0,0,0,0,0,0,0,0,
现金等价物的期初余额,0,0,0,0,0,0,0,0,0,0,0,0,0,
现金及现金等价物的净增加额,0,369962259.45,0,-26686212.26,0,0,0,0,0,0,0,0,0,
