,20200930,20200630,20191231,20181231,20171231,19700101,
货币资金,0,12302265.40,47691798.33,2651505.23,2162199.03,0,
交易性金融资产,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,
应收票据及应收账款,0,146984384.73,75918175.65,86152632.11,50778439.82,0,
应收票据,0,1290814.26,1682281.82,2017158.21,5032022.43,0,
应收账款,0,145693570.47,74235893.83,84135473.90,45746417.39,0,
应收款项融资,0,0,3711749.84,0,0,0,
预付款项,0,371148.33,624167.04,160682.10,466951.36,0,
其他应收款(合计),0,748674.07,583289.22,744998.78,875134.63,0,
应收利息,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,
其他应收款,0,0,0,0,0,0,
买入返售金融资产,0,0,0,0,0,0,
存货,0,81077923.83,62101004.18,56637824.44,35566646.97,0,
划分为持有待售的资产,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,
其他流动资产,0,1503623.75,1489993.24,1864040.64,44986739.35,0,
流动资产合计,0,242988020.11,192120177.50,148211683.30,134836111.16,0,
发放贷款及垫款,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,
在建工程(合计),0,24098411.89,31986224.11,1371336.39,0,0,
在建工程,0,0,0,0,0,0,
工程物资,0,0,0,0,0,0,
固定资产及清理(合计),0,140201801.52,96961532.06,91929681.16,46859506.26,0,
固定资产净额,0,140201801.52,96961532.06,91929681.16,46859506.26,0,
固定资产清理,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,
无形资产,0,46473216.94,46790299.02,46553036.90,1729934.35,0,
开发支出,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,
长期待摊费用,0,172803.37,63910.03,149123.35,360023.85,0,
递延所得税资产,0,1483219.17,1386496.50,1395669.70,532208.43,0,
其他非流动资产,0,10068876.12,7659393.22,4141517.21,20715503.37,0,
非流动资产合计,0,222498329.01,184847854.94,145540364.71,70197176.26,0,
资产总计,489819800.00,465486349.12,376968000.00,293752048.01,205033287.42,0,
短期借款,0,0,4006766.67,13150000.00,2850000.00,0,
交易性金融负债,0,0,0,0,0,0,
应付票据及应付账款,0,90065070.10,38642945.87,43010263.48,16958959.96,0,
应付票据,0,0,0,0,0,0,
应付账款,0,90065070.10,38642945.87,43010263.48,16958959.96,0,
预收款项,0,122890.12,704796.29,352292.68,1006161.06,0,
应付手续费及佣金,0,0,0,0,0,0,
应付职工薪酬,0,8754079.15,5766981.79,4701589.13,3817483.10,0,
应交税费,0,9428786.79,6681738.52,9382915.62,6177762.70,0,
其他应付款(合计),0,2062890.79,1325592.94,1666418.47,20502894.68,0,
应付利息,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,
其他应付款,0,0,0,0,0,0,
预提费用,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,
一年内到期的非流动负债,0,2013359.38,2016822.92,0,0,0,
其他流动负债,0,0,0,0,0,0,
流动负债合计,0,113662421.44,59145645.00,72263479.38,51313261.50,0,
长期借款,0,5500000.00,6500000.00,0,0,0,
应付债券,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,
长期递延收益,0,27947210.73,28339526.71,12453391.49,1409820.83,0,
其他非流动负债,0,0,0,0,0,0,
非流动负债合计,0,33447210.73,34839526.71,12453391.49,1409820.83,0,
负债合计,0,147109632.17,93985171.71,84716870.87,52723082.33,0,
实收资本(或股本),0,63850000.00,63850000.00,61224490.00,47011437.00,0,
资本公积,0,127266709.64,127266709.64,99882640.34,59579790.96,0,
减：库存股,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,
盈余公积,0,8680360.78,8680360.78,4006701.07,6574803.02,0,
一般风险准备,0,0,0,0,0,0,
未分配利润,0,118579646.53,83185790.31,43921345.73,39144174.11,0,
归属于母公司股东权益合计,337064100.00,318376716.95,282982900.00,209035177.14,152310205.09,0,
少数股东权益,0,0,0,0,0,0,
所有者权益(或股东权益)合计,337064100.00,318376716.95,282982860.73,209035177.14,152310205.09,0,
负债和所有者权益(或股东权益)总计,337064100.00,465486349.12,376968032.44,293752048.01,205033287.42,0,
