,20200930,20200630,20191231,20190930,20190630,20181231,20171231,20161231,19700101,
销售商品、提供劳务收到的现金,0,463550071.55,1883010534.29,0,700013418.37,1991315077.40,1508449549.66,1571254642.38,0,
收到的税费返还,0,32232115.29,114215505.23,0,63368395.39,155541866.17,107590157.62,66316017.03,0,
收到的其他与经营活动有关的现金,0,8324717.31,17611295.86,0,4424433.97,15205486.01,11642518.15,8717887.39,0,
经营活动现金流入小计,0,504106904.15,2014837335.38,0,767806247.73,2162062429.58,1627682225.43,1646288546.80,0,
购买商品、接受劳务支付的现金,0,165260668.58,894444689.34,0,386734297.38,1141708439.00,831416588.45,899712028.97,0,
支付给职工以及为职工支付的现金,0,172677093.55,419601353.24,0,210380045.79,446432829.47,419925817.06,393713799.06,0,
支付的各项税费,0,63892119.17,185103644.34,0,102756884.03,213593129.56,215883855.11,174242850.49,0,
支付的其他与经营活动有关的现金,0,48500791.50,133929331.81,0,73921242.72,165971186.47,146396968.53,161448676.17,0,
经营活动现金流出小计,0,450330672.80,1633079018.73,0,773792469.92,1967705584.50,1613623229.15,1629117354.69,0,
经营活动产生的现金流量净额,130300000.00,53776231.36,381758316.65,-10550300.00,-5986200.00,194356845.08,14058996.28,17171192.11,0,
收回投资所收到的现金,0,0,0,0,0,0,0,0,0,
取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,0,405879.11,101839.68,0,94178.55,25013.36,75619.11,449891.26,0,
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,
投资活动现金流入小计,0,405879.11,101839.68,0,94178.55,25013.36,75619.11,449891.26,0,
购建固定资产、无形资产和其他长期资产所支付的现金,0,11174577.54,136299115.53,0,83628502.11,149964524.17,44278869.86,12194723.14,0,
投资所支付的现金,0,0,0,0,0,0,0,0,0,
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,
支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,
投资活动现金流出小计,0,11174577.54,136299115.53,0,83628502.11,149964524.17,44278869.86,12194723.14,0,
投资活动产生的现金流量净额,0,-10768698.43,-136197275.85,0,-83534323.56,-149939510.81,-44203250.75,-11744831.88,0,
吸收投资收到的现金,0,0,0,0,0,8000000.00,0,0,0,
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,8000000.00,0,0,0,
取得借款收到的现金,0,350000000.00,983866388.41,0,585953934.03,1460503052.88,1083275756.42,1086911452.77,0,
发行债券收到的现金,0,0,0,0,0,0,0,0,0,
收到其他与筹资活动有关的现金,0,50000000.00,5751960.00,0,0,59380517.79,150158918.62,41939563.84,0,
筹资活动现金流入小计,0,400000000.00,989618348.41,0,585953934.03,1527883570.67,1233434675.04,1128851016.61,0,
偿还债务支付的现金,0,469500000.00,1171881249.93,0,677655376.68,1478859869.26,943214999.02,1129718288.37,0,
分配股利、利润或偿付利息所支付的现金,0,9571922.87,28024304.46,0,15857644.17,35588587.60,49321645.30,20120629.52,0,
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,
支付其他与筹资活动有关的现金,0,0,9675084.72,0,3330634.62,59504138.99,113698259.19,626406464.50,0,
筹资活动现金流出小计,0,479071922.87,1209580639.11,0,696843655.47,1573952595.85,1106234903.51,1776245382.39,0,
筹资活动产生的现金流量净额,0,-79071922.87,-219962290.70,0,-110889721.44,-46069025.18,127199771.53,-647394365.78,0,
四、汇率变动对现金及现金等价物的影响,0,4647088.67,1756349.21,0,1621610.49,3695190.94,-2249674.99,5741099.86,0,
五、现金及现金等价物净增加额,130300000.00,-31417301.27,27355099.31,-10550300.00,-198788656.70,2043500.03,94805842.07,-636226905.69,0,
加:期初现金及现金等价物余额,0,409598731.13,382243631.82,0,382243631.82,380200131.79,285394289.72,921621195.41,0,
六、期末现金及现金等价物余额,0,378181429.86,409598731.13,0,183454975.12,382243631.82,380200131.79,285394289.72,0,
净利润,0,48932000.00,121035200.00,0,67762300.00,121116800.00,91668600.00,85771500.00,0,
少数股东权益,0,0,0,0,0,0,0,0,0,
未确认的投资损失,0,0,0,0,0,0,0,0,0,
资产减值准备,0,38888000.00,36157400.00,0,28015100.00,69360700.00,63341100.00,57262200.00,0,
固定资产折旧、油气资产折耗、生产性物资折旧,0,28784800.00,58468600.00,0,29600100.00,59543800.00,61541600.00,65824900.00,0,
无形资产摊销,0,2777600.00,5404700.00,0,2701000.00,5437100.00,5930600.00,4249200.00,0,
长期待摊费用摊销,0,0,1131900.00,0,586900.00,2897600.00,2524000.00,5660200.00,0,
待摊费用的减少,0,0,0,0,0,0,0,0,0,
预提费用的增加,0,0,0,0,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产的损失,0,-140200.00,-95200.00,0,-94500.00,-72300.00,125200.00,-39300.00,0,
固定资产报废损失,0,62200.00,208800.00,0,57400.00,841300.00,18800.00,87500.00,0,
公允价值变动损失,0,0,0,0,0,0,0,0,0,
递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,
预计负债,0,0,0,0,0,0,0,0,0,
财务费用,0,4688900.00,26007200.00,0,12826000.00,30791500.00,26589500.00,14796200.00,0,
投资损失,0,0,0,0,0,0,0,0,0,
递延所得税资产减少,0,-1540200.00,2251100.00,0,-1474400.00,-520100.00,-6256400.00,-4329300.00,0,
递延所得税负债增加,0,0,0,0,0,0,0,0,0,
存货的减少,0,42694200.00,41287900.00,0,-36675900.00,-122615000.00,-161572500.00,-67137900.00,0,
经营性应收项目的减少,0,-65773200.00,113112300.00,0,-5101700.00,4024500.00,-162327300.00,-105196300.00,0,
经营性应付项目的增加,0,-45597800.00,-23211700.00,0,-104188600.00,23550800.00,87221600.00,-39777600.00,0,
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,
其他,0,0,0,0,0,0,5254200.00,0,0,
经营活动产生现金流量净额,0,53776200.00,381758300.00,0,-5986200.00,194356800.00,14059000.00,17171200.00,0,
债务转为资本,0,0,0,0,0,0,0,0,0,
一年内到期的可转换公司债券,0,0,0,0,0,0,0,0,0,
融资租入固定资产,0,0,0,0,0,0,0,0,0,
现金的期末余额,0,0,0,0,0,0,0,0,0,
现金的期初余额,0,0,0,0,0,0,0,0,0,
现金等价物的期末余额,0,0,0,0,0,0,0,0,0,
现金等价物的期初余额,0,0,0,0,0,0,0,0,0,
现金及现金等价物的净增加额,0,0,0,0,0,0,0,0,0,
