,20200930,20200630,20200331,20191231,20181231,20171231,19700101,
货币资金,46948312.91,0,0,24545816.08,66923308.58,45884101.66,0,
交易性金融资产,0,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,0,
应收票据及应收账款,641670835.12,0,0,874580091.59,442235291.61,60680703.66,0,
应收票据,34016807.70,0,0,35738551.30,26417366.49,12434478.00,0,
应收账款,607654027.42,0,0,838841540.29,415817925.12,48246225.66,0,
应收款项融资,0,0,0,0,0,0,0,
预付款项,7521544.94,0,0,9037707.83,845102.39,1848607.47,0,
其他应收款(合计),5452144.04,0,0,4751181.86,1998935.93,1223874.24,0,
应收利息,0,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,0,
其他应收款,0,0,0,4751181.86,1998935.93,1223874.24,0,
买入返售金融资产,0,0,0,0,0,0,0,
存货,294756751.13,0,0,209381850.79,102776535.69,64842061.04,0,
划分为持有待售的资产,0,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,0,
其他流动资产,15950499.66,0,0,400500.00,1183835.92,3725996.07,0,
流动资产合计,1012300087.80,0,0,1122697148.15,615963010.12,178205344.14,0,
发放贷款及垫款,0,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,0,
在建工程(合计),0,0,0,0,0,0,0,
在建工程,0,0,0,0,0,0,0,
工程物资,0,0,0,0,0,0,0,
固定资产及清理(合计),16346824.22,0,0,12322953.08,7389550.54,5466242.55,0,
固定资产净额,0,0,0,12322953.08,7389550.54,5466242.55,0,
固定资产清理,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,
无形资产,17056104.02,0,0,17675379.89,4421285.54,4404888.12,0,
开发支出,0,0,0,0,0,0,0,
商誉,55122.49,0,0,55122.49,55122.49,55122.49,0,
长期待摊费用,0,0,0,0,2569138.45,5733283.76,0,
递延所得税资产,13457908.51,0,0,14611348.82,7295179.77,7158961.75,0,
其他非流动资产,2198000.38,0,0,1020823.00,0,0,0,
非流动资产合计,49113959.62,0,0,45685627.28,21730276.79,22818498.67,0,
资产总计,1061414047.42,1125463900.00,1156822600.00,1168382800.00,637693286.91,201023842.81,0,
短期借款,80052923.89,0,0,139139455.87,62789000.00,0,0,
交易性金融负债,0,0,0,0,0,0,0,
应付票据及应付账款,135090209.61,0,0,215277979.39,132132347.47,32896070.28,0,
应付票据,0,0,0,0,0,0,0,
应付账款,135090209.61,0,0,215277979.39,132132347.47,32896070.28,0,
预收款项,0,0,0,82123.89,10000.02,0,0,
应付手续费及佣金,0,0,0,0,0,0,0,
应付职工薪酬,26478911.38,0,0,15159133.31,10139657.27,5756164.42,0,
应交税费,877093.58,0,0,26739979.14,33497466.71,141969.24,0,
其他应付款(合计),9829092.20,0,0,7492144.69,29694113.79,1680444.37,0,
应付利息,0,0,0,0,109265.53,0,0,
应付股利,0,0,0,0,0,0,0,
其他应付款,0,0,0,7492144.69,29584848.26,1680444.37,0,
预提费用,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,0,0,
其他流动负债,0,0,0,0,0,0,0,
流动负债合计,252328230.66,0,0,403890816.29,268262585.26,40474648.31,0,
长期借款,0,0,0,0,0,0,0,
应付债券,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,
预计非流动负债,7123735.46,0,0,6967251.15,3717931.75,0,0,
递延所得税负债,0,0,0,0,0,0,0,
长期递延收益,0,0,0,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,
非流动负债合计,7123735.46,0,0,6967251.15,3717931.75,0.00,0,
负债合计,259451966.12,265949900.00,422399800.00,410858100.00,271980517.01,40474648.31,0,
实收资本(或股本),56650674.00,0,0,56650674.00,54713805.00,54713805.00,0,
资本公积,304481304.23,0,0,304481304.23,129434155.89,129434155.89,0,
减：库存股,0,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,
盈余公积,28325337.00,0,0,28325337.00,18353930.79,327507.54,0,
一般风险准备,0,0,0,0,0,0,0,
未分配利润,412970372.60,0,0,367493315.13,159497084.42,-29833668.03,0,
归属于母公司股东权益合计,802427687.83,859683300.00,734353600.00,756950600.00,361998976.10,154641800.40,0,
少数股东权益,-465606.53,0,0,574077.63,3713793.80,5907394.10,0,
所有者权益(或股东权益)合计,801962081.30,859514000.00,734422800.00,757524700.00,365712769.90,160549194.50,0,
负债和所有者权益(或股东权益)总计,1061414047.42,1125463900.00,1156822600.00,1168382775.43,637693286.91,201023842.81,0,
