,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20171231,20161231,20151231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101,
销售商品、提供劳务收到的现金,815205845.50,557866341.28,0,1018845200.00,694076082.26,452616388.62,248809128.65,912926000.00,654993970.58,654206800.00,407396339.18,358282166.10,568841601.87,353742157.45,204984853.02,287919361.41,243230357.20,136622894.02,0,237776272.10,699732734.54,694073651.96,0,
收到的税费返还,9011414.70,2599914.62,0,2751200.00,9619359.65,2151197.31,2151197.31,23228200.00,23228150.16,5641800.00,4349787.54,10259291.22,2091000.00,2951638.38,1525373.49,17606323.60,14209934.67,7970945.85,0,1888057.77,34839.10,811317.64,0,
收到的其他与经营活动有关的现金,112359025.73,53270529.39,0,95563200.00,74561335.03,47926442.13,56216728.95,55681400.00,19674555.73,18287200.00,12040795.34,7972328.65,8542706.42,27242422.44,508076.38,50955238.36,5226892.58,1361315.00,0,19323408.34,2990532.94,18832314.86,0,
经营活动现金流入小计,936576285.93,613736785.29,0,1117159600.00,778256776.94,502694028.06,307177054.91,991835500.00,697896676.47,678135700.00,423786922.06,376513785.97,579475308.29,383936218.27,207018302.89,356480923.37,262667184.45,145955154.87,0,258987738.21,702758106.58,713717284.46,0,
购买商品、接受劳务支付的现金,665567510.82,386846431.31,0,720239800.00,472017452.86,321754944.56,212269467.13,541473200.00,387928177.02,430480700.00,323072600.60,262950503.10,460842990.40,325721650.09,158895167.29,210177294.83,245104276.54,150681446.61,0,172008643.68,588756234.38,633336446.64,0,
支付给职工以及为职工支付的现金,88501213.43,58628831.12,0,97363900.00,69476421.82,46470267.46,28429682.12,85611800.00,66482955.90,79323800.00,64590517.75,47288883.45,20580702.95,13216388.23,6080244.56,25606029.00,10198000.51,6831481.05,0,13887715.21,14680179.00,12456452.68,0,
支付的各项税费,32939267.22,25480947.03,0,61869400.00,39991119.98,23696297.99,2438504.78,42342700.00,27458210.90,35202300.00,18435884.37,5996991.99,87003525.82,595533.52,0,7564816.57,8018006.28,4554189.68,0,5990112.54,33033841.09,5737698.95,0,
支付的其他与经营活动有关的现金,135197249.82,125128456.78,0,114574700.00,123501097.72,82571315.67,34655909.89,118071000.00,99723970.75,50579000.00,33433261.76,28610351.13,6018478.49,36187360.03,15577743.08,37511832.30,0,0,0,23000069.98,23351266.75,22421699.77,0,
经营活动现金流出小计,922205241.29,596084666.24,0,994047900.00,704986092.38,474492825.68,277793563.92,787498700.00,581593314.57,595585800.00,439532264.48,344846729.67,574445697.66,375720931.87,180553154.93,280859972.70,263320283.33,162067117.34,0,214886541.41,659821521.22,673952298.04,0,
经营活动产生的现金流量净额,14371044.64,17652119.05,11125000.00,123111700.00,73270684.56,28201202.38,29383490.99,204336800.00,116303361.90,82549900.00,-15745342.42,31667056.30,5029610.63,8215286.40,26465147.96,75620950.67,-653098.88,-16111962.47,12000000.00,44101196.80,42936585.36,39764986.42,0,
收回投资所收到的现金,705000000.00,50000000.00,0,448000000.00,337008246.58,184020213.70,33000000.00,259000000.00,165000000.00,0,50200000.00,142150000.00,0,0,0,482514.00,0,0,0,1810492.80,0,0,0,
取得投资收益所收到的现金,1464534.79,89740.27,0,520800.00,410435.58,169068.49,34021.92,445100.00,308054.79,0,33041.11,619008.62,0,0,0,0,0,0,0,0,340010.64,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,15000.00,0,0,7800.00,5790.00,0,0,2400.00,0,0,176595.39,83000.00,558000.00,558000.00,0,0,0,0,0,23410.26,17500.00,0,0,
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
收到的其他与投资活动有关的现金,0,0,0,0,0,407048.89,0,0,17619600.00,18813000.00,105623047.92,27105657.32,9376195.10,0,0,0,0,0,0,0,0,0,0,
投资活动现金流入小计,706479534.79,50089740.27,0,448528600.00,337424472.16,184596331.08,33034021.92,259447500.00,182927654.79,18813000.00,156032684.42,169957665.94,9934195.10,558000.00,0,482514.00,0,0,0,1833903.06,357510.64,0,0,
