,20200930,20200630,20191231,20190930,20181231,20171231,20161231,19700101,
货币资金,2206628761.81,0,364970900.00,73153665.29,340549300.00,231602100.00,58628632.58,0,
交易性金融资产,0,0,0,40266958.90,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,0,0,
应收票据及应收账款,578080585.30,0,128858600.00,262219894.78,156947400.00,166263300.00,200691987.07,0,
应收票据,13172425.00,0,15893900.00,46895355.75,15666800.00,1238600.00,8890706.00,0,
应收账款,564908160.30,0,112964700.00,215324539.03,141280600.00,165024700.00,191801281.07,0,
应收款项融资,1000000.00,0,1838000.00,31699505.11,0,0,0,0,
预付款项,15542708.23,0,9575300.00,6211664.76,31083300.00,9074300.00,1557549.90,0,
其他应收款(合计),2587039.44,0,2049300.00,2538311.07,6487700.00,3403100.00,3056197.35,0,
应收利息,0,0,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,0,0,
其他应收款,0,0,0,2538311.07,0,0,3056197.35,0,
买入返售金融资产,0,0,0,0,0,0,0,0,
存货,324455901.42,0,340844700.00,291632372.08,184774500.00,107662700.00,86965601.97,0,
划分为持有待售的资产,0,0,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,0,0,
其他流动资产,15008330.33,0,37304400.00,29190680.37,47394000.00,836800.00,275089.74,0,
流动资产合计,3143303326.53,0,885441200.00,736913052.36,767236200.00,518842300.00,351175058.61,0,
发放贷款及垫款,0,0,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,0,0,
投资性房地产,85357044.47,0,87502500.00,88217663.86,87704200.00,0,0,0,
在建工程(合计),10539011.87,0,4314400.00,3636404.79,749800.00,441000.00,101246.92,0,
在建工程,0,0,0,3636404.79,0,0,101246.92,0,
工程物资,0,0,0,0,0,0,0,0,
固定资产及清理(合计),33932994.51,0,33148100.00,31160447.26,30838700.00,7358500.00,6493872.53,0,
固定资产净额,0,0,33148124.00,31160447.26,30838661.60,7358523.90,6493872.53,0,
固定资产清理,0,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,0,
无形资产,43895100.36,0,14262100.00,14077665.18,1430300.00,1845800.00,2270584.52,0,
开发支出,0,0,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,0,0,
长期待摊费用,904275.20,0,378700.00,446490.29,590800.00,899700.00,761766.45,0,
递延所得税资产,17749508.58,0,15277200.00,13223944.08,10062000.00,4613100.00,2695088.98,0,
其他非流动资产,0,0,0,0,0,0,0,0,
非流动资产合计,192377934.99,0,154883100.00,150762615.46,131375800.00,15158100.00,12322559.40,0,
资产总计,3335681261.52,1153435100.00,1040324200.00,887675667.82,898612000.00,534000300.00,363497618.01,0,
短期借款,151467261.11,0,65089100.00,58000000.00,60000000.00,59500000.00,80000000.00,0,
交易性金融负债,0,0,0,0,0,0,0,0,
应付票据及应付账款,105815273.03,0,121157600.00,91323519.40,137135300.00,73920900.00,103234704.69,0,
应付票据,0,0,2176100.00,1076122.00,16978000.00,0,149619.00,0,
应付账款,105815273.03,0,118981500.00,90247397.40,120157300.00,73920900.00,103085085.69,0,
预收款项,0,0,99769700.00,69555376.75,163656300.00,25403200.00,3510829.14,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,
应付职工薪酬,2689605.82,0,14382000.00,2900878.15,9259000.00,7780900.00,5567405.81,0,
应交税费,17335612.90,0,31703800.00,23364980.85,98450100.00,40306700.00,27789923.17,0,
其他应付款(合计),13537346.61,0,2644000.00,2628070.84,1134200.00,504400.00,553317.18,0,
应付利息,0,0,0,148115.83,60400.00,80000.00,116966.67,0,
应付股利,0,0,0,0,0,0,0,0,
其他应付款,0,0,0,2479955.01,0,0,436350.51,0,
