,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,1185805.83,21224481.64,291494173.03,424488386.34,273287268.44,182597312.34
收到的税费返还,0,0,0,0,0,6541848.07
收到的其他与经营活动有关的现金,10068827.81,32960929.37,8747573.50,16380364.06,89382457.91,73225730.61
经营活动现金流入小计,11254633.64,54185411.01,300241746.53,440868750.40,362669726.35,262364891.02
购买商品、接受劳务支付的现金,9971481.36,107965053.97,349532589.78,483398639.18,277881864.40,523899327.58
支付给职工以及为职工支付的现金,2298622.57,8894356.21,26972192.41,57937819.15,66716757.41,66709999.58
支付的各项税费,28447.45,14008118.23,46997642.03,41285860.75,64631692.87,30262914.55
支付的其他与经营活动有关的现金,12180134.85,39155022.19,30480480.25,51622528.20,68985446.34,61835405.49
经营活动现金流出小计,24478686.23,170022550.60,453982904.47,634244847.28,478215761.02,682707647.20
经营活动产生的现金流量净额,-13224052.59,-115837139.59,-153741157.94,-193376096.88,-115546034.67,-420342756.18
收回投资所收到的现金,0,0,0,0,0,0
取得投资收益所收到的现金,32591.53,0,0,0,0,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0,0,187421.59,599600.00,22471.80,117600.00
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,0,313793181.44,120878235.61
投资活动现金流入小计,32591.53,0.00,187421.59,599600.00,313815653.24,120995835.61
购建固定资产、无形资产和其他长期资产所支付的现金,2229945.02,5231276.79,52026794.80,50512654.28,165053653.64,89251890.19
投资所支付的现金,0,0,0,0,0,8000000.00
取得子公司及其他营业单位支付的现金净额,0,0,0,112098906.60,0,0
支付的其他与投资活动有关的现金,0,0,0,60000000.00,391132931.96,50000000.00
投资活动现金流出小计,2229945.02,5231276.79,52026794.80,222611560.88,556186585.60,147251890.19
投资活动产生的现金流量净额,-2197353.49,-5231276.79,-51839373.21,-222011960.88,-242370932.36,-26256054.58
吸收投资收到的现金,12000000.00,163500000.00,300000000.00,0,434199497.40,20000000.00
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0
取得借款收到的现金,4000000.00,61800000.00,161165780.00,567850827.13,617747804.45,736112620.49
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,4000000.00,0,3665000.00,9000000.00,252881100.00
筹资活动现金流入小计,16000000.00,229300000.00,461165780.00,571515827.13,1060947301.85,1008993720.49
偿还债务支付的现金,0,35000000.00,90800000.00,249155780.00,559204210.64,560908041.43
分配股利、利润或偿付利息所支付的现金,140651.87,1814058.23,4224998.94,30721602.39,24351109.17,32626310.06
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0
支付其他与筹资活动有关的现金,0,0,0,1933008.00,21568519.34,141797297.37
筹资活动现金流出小计,140651.87,36814058.23,95024998.94,281810390.39,605123839.15,735331648.86
筹资活动产生的现金流量净额,15859348.13,192485941.77,366140781.06,289705436.74,455823462.70,273662071.63
四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0
五、现金及现金等价物净增加额,437942.05,71417525.39,160560249.91,-125682621.02,97906495.67,-172936739.13
加:期初现金及现金等价物余额,312989.34,750931.39,72168456.78,232728706.69,107046085.67,204952581.34
六、期末现金及现金等价物余额,750931.39,72168456.78,232728706.69,107046085.67,204952581.34,32015842.21
净利润,5436600.00,26351880.30,81865105.35,94257068.33,21211842.35,-840642154.97
少数股东权益,0,0,0,0,0,0
未确认的投资损失,0,0,0,0,0,0
资产减值准备,458000.00,15138246.85,21686736.59,22952282.00,65296982.74,686349408.72
固定资产折旧、油气资产折耗、生产性物资折旧,254500.00,1123797.63,2985527.76,15575563.55,20251234.87,61091107.55
无形资产摊销,705700.00,378638.66,989340.47,3606319.74,5648516.99,4938687.67
长期待摊费用摊销,60100.00,111566.72,501340.54,2315845.41,3442894.39,2610742.62
待摊费用的减少,0,0,0,0,0,0
预提费用的增加,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产的损失,0,2275000.00,-11593.28,-177100.63,-14940.34,-75532.44
固定资产报废损失,0,0,0,0,53468.25,0
公允价值变动损失,0,0,0,0,0,-1847206.52
递延收益增加（减：减少）,0,0,0,0,0,0
预计负债,0,0,0,0,0,0
财务费用,148800.00,1832570.28,5669693.71,13290185.04,23783835.11,37885375.61
投资损失,-32600.00,0,0,0,-3822359.53,-849057.52
递延所得税资产减少,-239000.00,-3745071.43,-5066616.93,-20985728.64,-14772385.22,25404148.19
递延所得税负债增加,0,0,0,-1186773.01,-804862.87,-547524.82
存货的减少,-15663300.00,-23028307.60,-93241650.87,40847452.12,-105579182.85,-51871759.28
经营性应收项目的减少,-49186800.00,-373573528.66,-411984155.81,-483153310.13,-224592132.08,9716020.20
经营性应付项目的增加,44833900.00,215058988.39,242865114.53,119282099.34,94351053.52,-352505011.19
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0
其他,0,22239079.27,0,0,0,0
经营活动产生现金流量净额,-13224100.00,-115837139.59,-153741157.94,-193376096.88,-115546034.67,-420342756.18
债务转为资本,0,0,0,0,0,0
一年内到期的可转换公司债券,0,0,0,0,0,0
融资租入固定资产,0,0,0,0,0,0
现金的期末余额,0,72168456.78,232728706.69,107046085.67,204952581.34,32015842.21
现金的期初余额,0,750931.39,72168456.78,232728706.69,107046085.67,204952581.34
现金等价物的期末余额,0,0,0,0,0,0
现金等价物的期初余额,0,0,0,0,0,0
现金及现金等价物的净增加额,0,71417525.39,160560249.91,-125682621.02,97906495.67,-172936739.13
