,20200930,20200630,20191231,20181231,20171231,19700101,
货币资金,216203458.96,0,589365700.00,296217800.00,26889400.00,0,
交易性金融资产,140002087.67,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,
应收票据及应收账款,1466538645.99,0,1414788700.00,1575135600.00,789143700.00,0,
应收票据,516128790.66,0,534713400.00,648124800.00,326780900.00,0,
应收账款,950409855.33,0,880075300.00,927010800.00,462362800.00,0,
应收款项融资,66328289.22,0,122194300.00,0,0,0,
预付款项,99181338.73,0,39174900.00,49262100.00,20382000.00,0,
其他应收款(合计),6444665.72,0,10043800.00,16374200.00,2637200.00,0,
应收利息,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,
其他应收款,0,0,0,0,0,0,
买入返售金融资产,0,0,0,0,0,0,
存货,525512474.28,0,592952400.00,464742100.00,327452800.00,0,
划分为持有待售的资产,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,
其他流动资产,38584777.76,0,40122700.00,87667600.00,5167900.00,0,
流动资产合计,2558795738.33,0,2808642400.00,2489399300.00,1171673100.00,0,
发放贷款及垫款,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,
在建工程(合计),106963972.00,0,53096000.00,70373900.00,6828500.00,0,
在建工程,0,0,0,0,0,0,
工程物资,0,0,0,0,0,0,
固定资产及清理(合计),854896465.69,0,778744800.00,586638400.00,189346500.00,0,
固定资产净额,0,0,778744757.53,586638384.96,189346452.53,0,
固定资产清理,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,
无形资产,349304768.77,0,357072400.00,288460300.00,21257000.00,0,
开发支出,0,0,0,0,0,0,
商誉,144781917.41,0,144781900.00,144781900.00,0,0,
长期待摊费用,14773371.70,0,18273200.00,14320300.00,6436800.00,0,
递延所得税资产,36140821.22,0,34165500.00,15083700.00,9196400.00,0,
其他非流动资产,16808302.87,0,31099100.00,7601900.00,19697900.00,0,
非流动资产合计,1523669619.66,0,1417232900.00,1127260500.00,252763000.00,0,
资产总计,4082465357.99,3743493800.00,4225875300.00,3616659800.00,1424436100.00,0,
短期借款,1230751654.59,0,987435000.00,1067300000.00,258020000.00,0,
交易性金融负债,0,0,0,0,0,0,
应付票据及应付账款,693728491.84,0,961352400.00,831108300.00,232136400.00,0,
应付票据,258519015.14,0,461537200.00,412837300.00,28215700.00,0,
应付账款,435209476.70,0,499815200.00,418271000.00,203920700.00,0,
预收款项,0,0,5974700.00,5717000.00,3921400.00,0,
应付手续费及佣金,0,0,0,0,0,0,
应付职工薪酬,44366717.62,0,35131900.00,36255500.00,21054900.00,0,
应交税费,17028555.59,0,23729100.00,14995900.00,5755900.00,0,
其他应付款(合计),3208461.21,0,176484200.00,71732000.00,2421700.00,0,
应付利息,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,
其他应付款,0,0,0,0,0,0,
预提费用,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,
一年内到期的非流动负债,87907010.72,0,76661500.00,39838200.00,0,0,
其他流动负债,434010128.57,0,535357500.00,340998700.00,334847400.00,0,
流动负债合计,2525596537.73,0,2802126300.00,2407945600.00,858157600.00,0,
长期借款,129765223.76,0,142011100.00,163134000.00,0,0,
应付债券,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,
长期应付款(合计),0,0,0,27496400.00,0,0,
长期应付款,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,
长期递延收益,106048674.35,0,102276400.00,28263500.00,25515600.00,0,
其他非流动负债,0,0,0,0,0,0,
非流动负债合计,235813898.11,0,244287400.00,218893900.00,25515600.00,0,
负债合计,2761410435.84,2471465400.00,3046413700.00,2626839500.00,883673100.00,0,
实收资本(或股本),413355268.00,0,413355300.00,351314600.00,225000000.00,0,
资本公积,649306651.37,0,649306700.00,559374100.00,348428700.00,0,
减：库存股,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,
盈余公积,9581450.21,0,9581500.00,4338000.00,1450000.00,0,
一般风险准备,0,0,0,0,0,0,
未分配利润,248811552.57,0,107218300.00,3603000.00,-34115700.00,0,
归属于母公司股东权益合计,1321054922.15,1272028400.00,1179461600.00,918629700.00,540763000.00,0,
少数股东权益,0,0,0,71190500.00,0,0,
所有者权益(或股东权益)合计,1321054922.15,1272028400.00,1179461600.00,989820200.00,540763000.00,0,
负债和所有者权益(或股东权益)总计,4082465357.99,3743493800.00,4225875300.00,3616659800.00,1424436100.00,0,
