,20200930,20200630,20191231,20181231,20171231,19700101,
货币资金,134132492.13,0,170366601.11,153610284.06,71406443.41,0,
交易性金融资产,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,
应收票据及应收账款,280355247.72,0,218803092.88,200830866.73,143738185.84,0,
应收票据,142413906.19,0,123953953.77,103313801.86,73050572.78,0,
应收账款,137941341.53,0,94849139.11,97517064.87,70687613.06,0,
应收款项融资,0,0,0,0,0,0,
预付款项,2973827.20,0,1391182.58,6311202.56,5071051.68,0,
其他应收款(合计),214299.08,0,182000.55,430460.68,366011.50,0,
应收利息,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,
其他应收款,214299.08,0,182000.55,430460.68,366011.50,0,
买入返售金融资产,0,0,0,0,0,0,
存货,171920751.69,0,158635354.94,165830320.45,113992053.00,0,
划分为持有待售的资产,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,
其他流动资产,11417726.42,0,10370899.41,21850283.01,8969930.32,0,
流动资产合计,601014344.24,0,559749131.47,548863417.49,343543675.75,0,
发放贷款及垫款,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,
在建工程(合计),12887724.81,0,16491250.10,8418563.56,7418947.10,0,
在建工程,12887724.81,0,16491250.10,8418563.56,7418947.10,0,
工程物资,0,0,0,0,0,0,
固定资产及清理(合计),385282084.34,0,374728136.25,345946323.82,272079380.35,0,
固定资产净额,385282084.34,0,374728136.25,345946323.82,272079380.35,0,
固定资产清理,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,
无形资产,40113943.83,0,40826751.70,17540400.30,17970308.62,0,
开发支出,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,
长期待摊费用,5715202.64,0,4556257.89,5113221.84,4388349.29,0,
递延所得税资产,2411484.89,0,1910091.69,2032028.41,1983837.30,0,
其他非流动资产,19542649.54,0,9178624.66,19620683.32,30061593.50,0,
非流动资产合计,465953090.05,0,447691112.29,398671221.25,333902416.16,0,
资产总计,1066967434.29,980615800.00,1007440243.76,947534638.74,677446091.91,0,
短期借款,10000000.00,0,0,0,0,0,
交易性金融负债,0,0,0,0,0,0,
应付票据及应付账款,93083340.83,0,90354401.00,127379201.39,49088733.70,0,
应付票据,0,0,11870000.00,3000000.00,0,0,
应付账款,93083340.83,0,78484401.00,124379201.39,49088733.70,0,
预收款项,0,0,5710173.42,4843696.61,5051648.94,0,
应付手续费及佣金,0,0,0,0,0,0,
应付职工薪酬,16866848.29,0,20467466.86,13468248.04,12949886.68,0,
应交税费,5970899.13,0,4986992.12,899336.57,1107506.86,0,
其他应付款(合计),2415059.35,0,1626145.91,2511947.82,3141250.15,0,
应付利息,0,0,0,125988.85,0,0,
应付股利,0,0,0,0,0,0,
其他应付款,2415059.35,0,1626145.91,2385958.97,3141250.15,0,
预提费用,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,
一年内到期的非流动负债,20492750.50,0,42278188.65,22988233.89,0,0,
其他流动负债,98522548.94,0,73966089.80,49142545.95,62217487.59,0,
流动负债合计,249409941.65,0,239389457.76,221233210.27,133556513.92,0,
长期借款,30711366.40,0,37811366.40,86851366.40,0,0,
应付债券,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,
长期应付款(合计),3368302.40,0,13380135.01,26527110.78,0,0,
长期应付款,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,
递延所得税负债,5563661.85,0,6259954.42,7218446.80,0,0,
长期递延收益,32554863.53,0,32429254.16,9226669.61,8681719.61,0,
其他非流动负债,0,0,0,0,0,0,
非流动负债合计,72198194.18,0,89880709.99,129823593.59,8681719.61,0,
负债合计,321608135.83,265483700.00,329270167.75,351056803.86,142238233.53,0,
实收资本(或股本),75000000.00,0,75000000.00,75000000.00,75000000.00,0,
资本公积,421750652.88,0,421750652.88,421712652.88,421712652.88,0,
减：库存股,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,
专项储备,5090272.55,0,2814711.15,598226.06,423161.18,0,
盈余公积,18721911.19,0,18721911.19,10748980.42,4457971.06,0,
一般风险准备,0,0,0,0,0,0,
未分配利润,224796461.84,0,159882800.79,88417975.52,33614073.26,0,
归属于母公司股东权益合计,745359298.46,715132000.00,678170076.01,596477834.88,535207858.38,0,
少数股东权益,0,0,0,0,0,0,
所有者权益(或股东权益)合计,745359298.46,715132000.00,678170076.01,596477834.88,535207858.38,0,
负债和所有者权益(或股东权益)总计,1066967434.29,980615700.00,1007440243.76,947534638.74,677446091.91,0,
