,20200930,20200630,20191231,20190930,20190630,20181231,20171231,19700101,
销售商品、提供劳务收到的现金,285091145.80,0,424382033.66,300091701.84,0,377179167.87,283102560.86,0,
收到的税费返还,0,0,1635795.13,0,0,0,0,0,
收到的其他与经营活动有关的现金,3194895.43,0,36769578.96,34183339.94,0,4131226.30,1494390.98,0,
经营活动现金流入小计,288286041.23,0,462787407.75,334275041.78,0,381310394.17,284596951.84,0,
购买商品、接受劳务支付的现金,115031618.28,0,174315076.23,122012597.93,0,211020266.71,133947594.65,0,
支付给职工以及为职工支付的现金,61576570.72,0,70007218.64,53293287.07,0,73432832.51,57115465.50,0,
支付的各项税费,27160889.41,0,29137533.66,23748863.62,0,22587853.43,22648955.67,0,
支付的其他与经营活动有关的现金,14766091.55,0,40264700.01,16198727.50,0,20320687.21,19271983.23,0,
经营活动现金流出小计,218535169.96,0,313724528.54,215253476.12,0,327361639.86,232983999.05,0,
经营活动产生的现金流量净额,69750871.27,48438600.00,149062879.21,119021565.66,55550500.00,53948754.31,51612952.79,0,
收回投资所收到的现金,10000000.00,0,10000000.00,0,0,0,0,0,
取得投资收益所收到的现金,135589.08,0,10835.62,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,1546137.00,0,531570.00,293050.00,0,735086.00,303000.00,0,
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,
投资活动现金流入小计,11681726.08,0,10542405.62,293050.00,0,735086.00,303000.00,0,
购建固定资产、无形资产和其他长期资产所支付的现金,47490374.79,0,82758222.99,66628757.76,0,101327419.91,95045625.73,0,
投资所支付的现金,10000000.00,0,10000000.00,0,0,0,0,0,
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,
支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,
投资活动现金流出小计,57490374.79,0,92758222.99,66628757.76,0,101327419.91,95045625.73,0,
投资活动产生的现金流量净额,-45808648.71,-23586200.00,-82215817.37,-66335707.76,-58153800.00,-100592333.91,-94742625.73,0,
吸收投资收到的现金,0,0,0,0,0,0,184650000.00,0,
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,
取得借款收到的现金,10000000.00,0,0,0,0,135651366.40,15000000.00,0,
发行债券收到的现金,0,0,0,0,0,0,0,0,
收到其他与筹资活动有关的现金,0,0,38000.00,38000.00,0,0,0,0,
筹资活动现金流入小计,10000000.00,0,38000.00,38000.00,0,135651366.40,199650000.00,0,
偿还债务支付的现金,39010000.00,0,42943320.32,37540119.13,0,0,95000000.00,0,
分配股利、利润或偿付利息所支付的现金,17008617.96,0,17798713.52,15629577.12,0,6727581.24,5749244.67,0,
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,
支付其他与筹资活动有关的现金,2239305.38,0,1150943.37,1150943.37,0,0,0,0,
筹资活动现金流出小计,58257923.34,0,61892977.21,54320639.62,0,6727581.24,100749244.67,0,
筹资活动产生的现金流量净额,-48257923.34,-43500600.00,-61854977.21,-54282639.62,-26525800.00,128923785.16,98900755.33,0,
四、汇率变动对现金及现金等价物的影响,-48408.20,0,-105767.58,116762.48,0,-76364.91,-25699.69,0,
五、现金及现金等价物净增加额,-24364108.98,-18648200.00,4886317.05,-1480019.24,-29129100.00,82203840.65,55745382.70,0,
加:期初现金及现金等价物余额,158496601.11,0,153610284.06,153610284.06,0,71406443.41,15661060.71,0,
六、期末现金及现金等价物余额,134132492.13,0,158496601.11,152130264.82,0,153610284.06,71406443.41,0,
净利润,0,0,88437756.04,0,0,67094911.62,44579710.58,0,
少数股东权益,0,0,0,0,0,0,0,0,
未确认的投资损失,0,0,0,0,0,0,0,0,
资产减值准备,0,0,2618606.40,0,0,2982268.15,5247596.26,0,
固定资产折旧、油气资产折耗、生产性物资折旧,0,0,44032906.80,0,0,36710309.55,27964839.43,0,
无形资产摊销,0,0,933201.60,0,0,560643.71,545908.43,0,
长期待摊费用摊销,0,0,3381717.79,0,0,3817759.32,2688447.91,0,
待摊费用的减少,0,0,0,0,0,0,0,0,
预提费用的增加,0,0,0,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产的损失,0,0,-212990.91,0,0,310548.38,42691.84,0,
固定资产报废损失,0,0,749513.79,0,0,0,1248829.26,0,
公允价值变动损失,0,0,0,0,0,0,0,0,
递延收益增加（减：减少）,0,0,23202584.55,0,0,544950.00,-249027.00,0,
预计负债,0,0,0,0,0,0,0,0,
财务费用,0,0,8176476.83,0,0,1577355.14,2674944.36,0,
投资损失,0,0,-10835.62,0,0,0,0,0,
递延所得税资产减少,0,0,121936.72,0,0,-48191.11,-744816.94,0,
递延所得税负债增加,0,0,-958492.38,0,0,7218446.80,0,0,
存货的减少,0,0,4576359.11,0,0,-53843094.85,-32719198.46,0,
经营性应收项目的减少,0,0,-27548459.72,0,0,-81643128.50,-16360949.61,0,
经营性应付项目的增加,0,0,-577185.43,0,0,68490911.22,18357914.09,0,
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,
其他,0,0,0,0,0,0,0,0,
经营活动产生现金流量净额,0,0,149062879.21,0,0,53948754.31,51612952.79,0,
债务转为资本,0,0,0,0,0,0,0,0,
一年内到期的可转换公司债券,0,0,0,0,0,0,0,0,
融资租入固定资产,0,0,0,0,0,0,0,0,
现金的期末余额,0,0,158496601.11,0,0,153610284.06,71406443.41,0,
现金的期初余额,0,0,153610284.06,0,0,71406443.41,15661060.71,0,
现金等价物的期末余额,0,0,0,0,0,0,0,0,
现金等价物的期初余额,0,0,0,0,0,0,0,0,
现金及现金等价物的净增加额,0,0,4886317.05,0,0,82203840.65,55745382.70,0,
