,20200930,20200630,20191231,20190630,20181231,20180630,20171231,20161231,20151231,19700101,
货币资金,2234312999.65,1252657738.94,904589604.11,715796500.00,503939000.00,443134600.00,538269600.00,319007600.00,696022000.00,0,
交易性金融资产,814700.00,0,0,50000.00,1007700.00,0,5088800.00,0.00,0,0,
衍生金融资产,0,0,0,0,0,0,0,0,0,0,
应收票据及应收账款,608572715.60,499096183.57,445963117.70,494926900.00,560152900.00,557632900.00,574753600.00,432636700.00,0,0,
应收票据,0,0,0,0,3540000.00,9225900.00,11135500.00,17868700.00,260000.00,0,
应收账款,608572715.60,499096183.57,445963117.70,494926900.00,556612900.00,548407000.00,563618100.00,414768000.00,301351600.00,0,
应收款项融资,1157141.34,344592.94,5821766.80,300000.00,0,0,0,0,0,0,
预付款项,101386946.38,37975493.43,68241598.68,23892900.00,73377300.00,61091100.00,28585800.00,59614300.00,62630000.00,0,
其他应收款(合计),76579073.44,89837255.34,102358699.11,85380700.00,112425100.00,92431800.00,69630400.00,152778700.00,0,0,
应收利息,0,0,0,0,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,0,0,0,0,
其他应收款,0,89837255.34,102358699.11,0,0,92431800.00,0,0,248875200.00,0,
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,
存货,722731633.00,787562121.87,789621056.45,883785200.00,966887100.00,979522300.00,939334700.00,664736300.00,469876600.00,0,
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,
其他流动资产,42064225.35,29610113.50,50127815.62,59766000.00,49914200.00,47279400.00,41453800.00,27360100.00,16389800.00,0,
流动资产合计,3787619434.76,2697083499.59,2366723658.47,2263898300.00,2267703300.00,2181092100.00,2197116700.00,1656133700.00,1795405200.00,0,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,0,0,0,0,
在建工程(合计),207080810.34,170570296.03,56837420.86,73771700.00,177122200.00,114620900.00,363600700.00,148234900.00,0,0,
在建工程,0,170570296.03,56837420.86,0,0,114620900.00,0,0,823685300.00,0,
工程物资,0,0,0,0,0,0,0,0,0,0,
固定资产及清理(合计),3304407249.93,3466942183.29,3467671864.34,3533037200.00,3541414000.00,3533336600.00,3249707000.00,3402142100.00,0,0,
固定资产净额,0,3466942183.29,3467671864.34,0,0,3533336600.00,0,0,2110638000.00,0,
固定资产清理,0,0,0,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,0,0,0,
无形资产,161758149.49,173343687.33,193407587.32,214192300.00,239269600.00,257139500.00,257007400.00,296879500.00,141862900.00,0,
开发支出,0,0,0,0,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,0,0,0,0,
长期待摊费用,0,0,0,2070500.00,2401000.00,2835000.00,2919700.00,3811100.00,4233400.00,0,
递延所得税资产,19374308.75,20557458.85,19889258.70,16377500.00,11608400.00,5621800.00,3410100.00,2894100.00,2430800.00,0,
其他非流动资产,315273704.04,277446897.58,301690201.63,146789700.00,53000000.00,42281900.00,83495600.00,95057000.00,204977900.00,0,
非流动资产合计,4007894222.55,4108860523.08,4039496332.85,3986239000.00,4024815100.00,3955835700.00,3960140400.00,3949018800.00,3287828400.00,0,
资产总计,7795513657.31,6805944022.67,6406219991.32,6250137200.00,6292518300.00,6136927800.00,6157257200.00,5605152500.00,5083233600.00,0,
短期借款,203997006.97,283760046.80,105565463.27,123680400.00,392220800.00,502987600.00,1089200700.00,867101200.00,1213727400.00,0,
交易性金融负债,1594840.47,13442844.69,2411750.00,3591800.00,10653000.00,9439300.00,0,0,1096700.00,0,
应付票据及应付账款,698745530.28,625598291.67,687436721.23,789047000.00,793797900.00,1047785600.00,1277551300.00,970203600.00,0,0,
应付票据,162093737.26,138813758.12,190639961.70,311802400.00,204235700.00,358457900.00,458506100.00,275190500.00,342096100.00,0,
应付账款,536651793.02,486784533.55,496796759.53,477244600.00,589562200.00,689327700.00,819045200.00,695013100.00,768278000.00,0,
预收款项,0,0,12119010.61,11844600.00,10098400.00,5321200.00,10009300.00,10557400.00,5339100.00,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,74121641.67,72280860.97,88579434.66,54434600.00,61151200.00,28213100.00,57417600.00,28949500.00,30510700.00,0,
应交税费,35259314.82,23918468.89,24177810.60,42751800.00,30133200.00,13991600.00,10546700.00,8942900.00,14140600.00,0,
