,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20171231,20161231,19700101,
销售商品、提供劳务收到的现金,871687738.66,518574783.96,231150155.48,1300773100.00,831348849.70,498798900.00,253095562.76,1058325400.00,914572400.00,842981100.00,0,
收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,
收到的其他与经营活动有关的现金,29542524.87,11176338.11,4702856.12,14647200.00,13257386.59,8505300.00,1153335.53,105585300.00,17635500.00,9210000.00,0,
经营活动现金流入小计,901230263.53,529751122.07,235853011.60,1315420200.00,844606236.29,507304200.00,254248898.29,1163910600.00,932207900.00,852191100.00,0,
购买商品、接受劳务支付的现金,475117068.25,292753683.21,117664059.40,657024800.00,418575220.44,262801500.00,125986640.34,570871300.00,513817300.00,478670400.00,0,
支付给职工以及为职工支付的现金,125586417.56,80729700.38,42306158.54,154008800.00,110690715.22,74000500.00,37718733.40,137769200.00,119806900.00,98444400.00,0,
支付的各项税费,98027813.91,73095776.07,42253748.90,147052700.00,111526572.03,84508600.00,44847129.55,94106700.00,115705400.00,73706900.00,0,
支付的其他与经营活动有关的现金,89493357.18,53690454.51,24979541.79,120691100.00,84056350.46,54249200.00,26947244.68,111852100.00,115597600.00,111054600.00,0,
经营活动现金流出小计,788224656.90,500269614.17,227203508.63,1078777400.00,724848858.15,475559700.00,235499747.97,914599300.00,864927300.00,761876400.00,0,
经营活动产生的现金流量净额,113005606.63,29481507.90,8649502.97,236642800.00,119757378.14,31744500.00,18749150.32,249311400.00,67280600.00,90314700.00,0,
收回投资所收到的现金,2101140306.25,1490387087.07,694563616.94,2087278800.00,1429450107.70,958750000.00,649880000.00,1745882600.00,2186300700.00,1838734500.00,0,
取得投资收益所收到的现金,5215134.43,3946513.73,2362114.49,5927400.00,3897772.82,2838100.00,1252630.27,6354400.00,4804400.00,4904000.00,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,169655.41,1655.41,0,55300.00,55318.58,55300.00,0,50000.00,10000.00,10100.00,0,
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,248700.00,2653000.00,0,
投资活动现金流入小计,2106525096.09,1494335256.21,696925731.43,2093261500.00,1433403199.10,961643400.00,651132630.27,1752287000.00,2191363800.00,1846301500.00,0,
购建固定资产、无形资产和其他长期资产所支付的现金,109824586.37,57370949.38,18578620.38,75830800.00,67903036.88,36812800.00,13025698.73,163568700.00,70086600.00,68996600.00,0,
投资所支付的现金,2827290000.00,1497040000.00,687250000.00,2233776000.00,1509460000.00,976392300.00,698220000.00,1661628600.00,2202754200.00,1868438700.00,0,
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,
支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0.00,0.00,248700.00,0,
投资活动现金流出小计,2937114586.37,1554410949.38,705828620.38,2309606700.00,1577363036.88,1013205000.00,711245698.73,1825197300.00,2272840800.00,1937684000.00,0,
投资活动产生的现金流量净额,-830589490.28,-60075693.17,-8902888.95,-216345300.00,-143959837.78,-51561600.00,-60113068.46,-72910300.00,-81477100.00,-91382500.00,0,
吸收投资收到的现金,858381717.37,0,0,0,0,0,0,0,25950500.00,0,0,
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,
取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,
发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,
收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,687500.00,5420000.00,0,
筹资活动现金流入小计,858381717.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26638000.00,5420000.00,0,
偿还债务支付的现金,0,0,0,0,0,0,0,0,12000000.00,18000000.00,0,
分配股利、利润或偿付利息所支付的现金,93507632.77,0,0,70000000.00,70000000.00,70000000.00,70000000.00,60000000.00,600300.00,1433000.00,0,
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,
支付其他与筹资活动有关的现金,21850715.85,507547.17,436792.45,105700.00,105660.38,105700.00,0,0.00,3000000.00,3160600.00,0,
筹资活动现金流出小计,115358348.62,507547.17,436792.45,70105700.00,70105660.38,70105700.00,70000000.00,60000000.00,15600300.00,22593500.00,0,
筹资活动产生的现金流量净额,743023368.75,-507547.17,-436792.45,-70105700.00,-70105660.38,-70105700.00,-70000000.00,-60000000.00,11037600.00,-17173500.00,0,
四、汇率变动对现金及现金等价物的影响,69242.62,87758.28,88077.54,99900.00,1716.97,1700.00,0,305500.00,-170400.00,68300.00,0,
五、现金及现金等价物净增加额,25508727.72,-31013974.16,-602100.89,-49708200.00,-94306403.05,-89921100.00,-111363918.14,116706500.00,-3329200.00,-18172900.00,0,
加:期初现金及现金等价物余额,71222608.58,71222608.58,71222608.58,120930800.00,120930812.42,120930800.00,120930812.42,4224300.00,7553500.00,25726400.00,0,
六、期末现金及现金等价物余额,96731336.30,40208634.42,70620507.69,71222600.00,26624409.37,31009700.00,9566894.28,120930800.00,4224300.00,7553500.00,0,
净利润,0,68764267.20,0,167996042.21,0,0,0,0,0,0,0,
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,
未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,
资产减值准备,0,-383549.67,0,2306011.27,0,0,0,0,0,0,0,
固定资产折旧、油气资产折耗、生产性物资折旧,0,13280683.24,0,21066345.03,0,0,0,0,0,0,0,
无形资产摊销,0,1184503.10,0,2346704.51,0,0,0,0,0,0,0,
长期待摊费用摊销,0,2058394.47,0,4910259.57,0,0,0,0,0,0,0,
待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,
预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产的损失,0,85675.46,0,0,0,0,0,0,0,0,0,
固定资产报废损失,0,0,0,520080.79,0,0,0,0,0,0,0,
公允价值变动损失,0,-1584826.50,0,-1000571.83,0,0,0,0,0,0,0,
递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,
预计负债,0,0,0,0,0,0,0,0,0,0,0,
财务费用,0,-87758.28,0,-99913.17,0,0,0,0,0,0,0,
投资损失,0,-3053045.96,0,-5927400.30,0,0,0,0,0,0,0,
递延所得税资产减少,0,68676.04,0,-866674.13,0,0,0,0,0,0,0,
递延所得税负债增加,0,3991952.50,0,4588586.64,0,0,0,0,0,0,0,
存货的减少,0,32422815.41,0,-28057348.91,0,0,0,0,0,0,0,
经营性应收项目的减少,0,4172546.97,0,-1747169.07,0,0,0,0,0,0,0,
经营性应付项目的增加,0,-91438826.08,0,70607845.07,0,0,0,0,0,0,0,
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0,0,
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0,0,
其他,0,0,0,0,0,0,0,0,0,0,0,
经营活动产生现金流量净额,0,29481507.90,0,236642797.68,0,0,0,0,0,0,0,
债务转为资本,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的可转换公司债券,0,0,0,0,0,0,0,0,0,0,0,
融资租入固定资产,0,0,0,0,0,0,0,0,0,0,0,
现金的期末余额,0,40208634.42,0,71222608.58,0,0,0,0,0,0,0,
现金的期初余额,0,71222608.58,0,120930812.42,0,0,0,0,0,0,0,
现金等价物的期末余额,0,0.00,0,0,0,0,0,0,0,0,0,
现金等价物的期初余额,0,0.00,0,0,0,0,0,0,0,0,0,
现金及现金等价物的净增加额,0,-31013974.16,0,-49708203.84,0,0,0,0,0,0,0,
