,20200930,20200630,20191231,20181231,20171231,19700101,
货币资金,168404697.41,0,111263992.21,19386739.37,17498435.90,0,
交易性金融资产,0,0,10061369.86,0,0,0,
衍生金融资产,0,0,0,0,0,0,
应收票据及应收账款,83193244.12,0,87470536.44,107115365.44,113046861.36,0,
应收票据,2196409.99,0,873123.11,35904850.68,30632399.06,0,
应收账款,80996834.13,0,86597413.33,71210514.76,82414462.30,0,
应收款项融资,36830191.78,0,47053691.88,0,0,0,
预付款项,7230973.14,0,1468533.16,1520229.25,3814224.77,0,
其他应收款(合计),4117128.06,0,2451840.50,2304961.57,3272166.99,0,
应收利息,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,
其他应收款,0,0,0,0,0,0,
买入返售金融资产,0,0,0,0,0,0,
存货,67292837.24,0,63757069.21,65566026.87,58017235.39,0,
划分为持有待售的资产,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,
其他流动资产,82862.13,0,85532.35,62986596.02,141776.45,0,
流动资产合计,367151933.88,0,323612565.61,258879918.52,195790700.86,0,
发放贷款及垫款,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,
在建工程(合计),869813.99,0,855654.70,1808737.08,0,0,
在建工程,0,0,0,0,0,0,
工程物资,0,0,0,0,0,0,
固定资产及清理(合计),56399642.10,0,60283194.81,63972147.31,65219200.00,0,
固定资产净额,0,0,60283194.81,63972147.31,65219200.00,0,
固定资产清理,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,
无形资产,10350416.58,0,10649910.77,10223477.37,10473929.29,0,
开发支出,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,
长期待摊费用,1048937.01,0,1246849.45,800000.00,0,0,
递延所得税资产,3755497.97,0,3597915.68,2859225.63,2753067.42,0,
其他非流动资产,0,0,357652.48,0,525500.00,0,
非流动资产合计,72424307.65,0,76991177.89,79663587.39,78971696.71,0,
资产总计,439576241.53,415184700.00,400603743.50,338543505.91,274762397.57,0,
短期借款,0,0,0,0,0,0,
交易性金融负债,0,0,0,0,0,0,
应付票据及应付账款,35542718.08,0,47848383.88,38170939.90,37033000.30,0,
应付票据,0,0,0,0,0,0,
应付账款,35542718.08,0,47848383.88,38170939.90,37033000.30,0,
预收款项,0,0,19744387.77,18287115.33,13565041.57,0,
应付手续费及佣金,0,0,0,0,0,0,
应付职工薪酬,12293414.69,0,14039337.43,11657024.66,13076976.78,0,
应交税费,7320727.38,0,7570791.81,8520450.31,12150789.38,0,
其他应付款(合计),9944126.57,0,6732656.37,16041762.26,15492797.90,0,
应付利息,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,
其他应付款,0,0,0,0,0,0,
预提费用,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,0,
其他流动负债,1704728.84,0,1836685.00,0,0,0,
流动负债合计,79919014.32,0,97772242.26,92677292.46,91318605.93,0,
长期借款,0,0,0,0,0,0,
应付债券,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,
递延所得税负债,0,0,9205.48,0,0,0,
长期递延收益,420000.00,0,420000.00,0,0,0,
其他非流动负债,0,0,0,0,0,0,
非流动负债合计,420000.00,0,429205.48,0.00,0.00,0,
负债合计,80339014.32,0,98201447.74,92677292.46,91318605.93,0,
实收资本(或股本),90000000.00,0,90000000.00,90000000.00,60000000.00,0,
资本公积,57783899.21,0,57783899.21,57783899.21,87783899.21,0,
减：库存股,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,
专项储备,6513146.51,0,4487478.40,2938604.33,652883.66,0,
盈余公积,19425117.48,0,19425117.48,11242260.11,3747221.69,0,
一般风险准备,0,0,0,0,0,0,
未分配利润,185515064.01,0,130705800.67,83901449.80,31259787.08,0,
归属于母公司股东权益合计,359237227.21,335047900.00,302402295.76,245866213.45,183443791.64,0,
少数股东权益,0,0,0,0,0,0,
所有者权益(或股东权益)合计,359237227.21,335047900.00,302402295.76,245866213.45,183443791.64,0,
负债和所有者权益(或股东权益)总计,439576241.53,335047900.00,400603743.50,338543505.91,274762397.57,0,
